collection_title,collection_description,accessRights,data_owner,description,title,titleAbr,language,issued,modified,publisher,publisherAbr,landingPage,downloadURL,contactPoint,identifier,data_type,study_type,study_subtype,topic,keyword,division,citation_requirements,gYearMonth,gYear,accrualPeriodicity,LocationType,idRegion,idCountry,idCountryAbr,idSubregion,datadescription:dictionary,sampledesign,representativeness,sampling_procedure,weighting,txtpanel,txtRound,txtCoverage,intHogs,intPers,intHogsexp,intPersexp,lnkQuest,lnkManual,lnkOther,lnkAll,lnkMerged,lnkOriginal,InkHarmonized
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1991,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m6,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1991/m6,NA,\\Sdssrv03\surveys/survey/BRA/1991/m6/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1991,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m7,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1991/m7,NA,\\Sdssrv03\surveys/survey/BRA/1991/m7/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1991,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m8,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1991/m8,NA,\\Sdssrv03\surveys/survey/BRA/1991/m8/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1991,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m9,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1991/m9,NA,\\Sdssrv03\surveys/survey/BRA/1991/m9/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Hogares-Fuerza de Trabajo,ENH-FT,Spanish,1991,NA,Departamento Administativo Nacional de Estadistica,DANE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CAN,Colombia,COL,NA,NA,NA,NA,NA,NA,NA,m9,Urbana,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/COL/1991/m9,NA,\\Sdssrv03\surveys/survey/COL/1991/m9/data_orig,\\Sdssrv03\surveys/harmonized/COL/ENH-FT/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta de Hogares de Propósitos Múltiples,EHPM,Spanish,1991,NA,Dirección General de Estadística y Censos,DGEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CID,Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,m7,Nacional,8002,35565,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\CRI\EHPM\1991\m7,NA,\\Sdssrv03\surveys/survey/CRI/EHPM/1991/m7/data_orig,\\Sdssrv03\surveys/harmonized/CRI/EHPM/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,"Encuesta Periódica de Empleo, Desempleo y Subempleo",ENEMDU,Spanish,1991,NA,Instituto Nacional de Estadisticas y Censos,INEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CAN,Ecuador,ECU,NA,NA,NA,NA,NA,NA,NA,m11,Urbana,8237,39071,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\ECU\ENEMDU\1991\m11,NA,\\Sdssrv03\surveys/survey/ECU/ENEMDU/1991/m11/data_orig,\\Sdssrv03\surveys/harmonized/ECU/ENEMDU/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta de Hogares de Propósitos Múltiples,EHPM,Spanish,1991,NA,?,?,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CID,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,m10-1991_m3-1992,?,18955,90624,NA,NA,NA,NA,NA,NA,NA,/survey/SLV/EHPM/1991/m10-1991_m3-1992/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Census,Census,English,1991,NA,NA,NA,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1991,NA,National,CCB,Guyana,GUY,NA,NA,NA,NA,NA,NA,NA,a,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Permanente de Hogares de Propósitos Múltiples,EPHPM,Spanish,1991,NA,Dirección General de Estadistica y Censos,DGEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CID,Honduras,HND,NA,NA,NA,NA,NA,NA,NA,m3,Nacional,11723,55975,NA,NA,NA,na,NA,\\Sdssrv03\surveys\survey\HND\EPHPM\1991\m3,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Survey of Living Conditions,SLC,English,1991,NA,Statistical Institute and Planning Institute of Jamaica,"STATIN,PIOJ",NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CCB,Jamaica,JAM,NA,NA,NA,NA,NA,NA,NA,m11,Nacional,1786,7196,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Labour Force Survey,LFS,English,1991,NA,Statistical Institute and Planning Institute of Jamaica,"STATIN,PIOJ",NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CCB,Jamaica,JAM,NA,NA,NA,NA,NA,NA,NA,m5,Nacional,1723,6750,na,na,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/harmonized/JAM/LFS/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Empleo Urbano,ENEU,Spanish,1991,NA,Instituto Nacional de Estadística Geografica e Informática,INEGI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Trimestral,National,CID,México,MEX,NA,NA,NA,NA,NA,NA,NA,t1,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Empleo,ENE,Spanish,1991,NA,Instituto Nacional de Estadística Geografica e Informática,INEGI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Trimestral,National,CID,México,MEX,NA,NA,NA,NA,NA,NA,NA,t2,Nacional,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/MEX/1991/t2,NA,\\Sdssrv03\surveys/survey/MEX/1991/t2/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Empleo Urbano,ENEU,Spanish,1991,NA,Instituto Nacional de Estadística Geografica e Informática,INEGI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Trimestral,National,CID,México,MEX,NA,NA,NA,NA,NA,NA,NA,t2,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Empleo Urbano,ENEU,Spanish,1991,NA,Instituto Nacional de Estadística Geografica e Informática,INEGI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Trimestral,National,CID,México,MEX,NA,NA,NA,NA,NA,NA,NA,t3,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Empleo Urbano,ENEU,Spanish,1991,NA,Instituto Nacional de Estadística Geografica e Informática,INEGI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Trimestral,National,CID,México,MEX,NA,NA,NA,NA,NA,NA,NA,t4,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta de Hogares,EH,Spanish,1991,NA,Dirección de Estadística y Censos,DEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CID,Panamá,PAN,NA,NA,NA,NA,NA,NA,NA,m8,Nacional,8867,38000,NA,NA,NA,\\Sdssrv03\surveys/survey/PAN/EH/1991/m8/docs,NA,\\Sdssrv03\surveys/survey/PAN/EH/1991/m8,na,\\Sdssrv03\surveys/survey/PAN/EH/1991/m8/data_orig,\\Sdssrv03\surveys\harmonized\PAN\EH\data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta de Hogares por Muestra -Mano de obra,EHM,Spanish,1991,NA,Dirección General de Estadística Y Censos,DGEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CSC,Paraguay,PRY,NA,NA,NA,NA,NA,NA,NA,m10_m11,Nacional,860,3851,231320,1035314,NA,NA,NA,\\Sdssrv03\surveys/survey/PRY/EHM/1991/m10_m11,NA,\\Sdssrv03\surveys/survey/PRY/EHM/1991/m10_m11/data_orig,\\Sdssrv03\surveys/harmonized/PRY/EHM/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Hogares sobre medición de Niveles de Vida,ENNIV,Spanish,1991,NA,NA,Cuanto S.A.,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Anual,National,CAN,Perú,PER,NA,NA,NA,NA,NA,NA,NA,m9_m11,Nacional,2308,11845,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Fuerza de Trabajo,ENFT,Spanish,1991,NA,Banco Central de la Republica Dominicana,BCRD,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CID,República Dominicana,DOM,NA,NA,NA,NA,NA,NA,NA,m1,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Fuerza de Trabajo,ENFT,Spanish,1991,NA,Banco Central de la Republica Dominicana,BCRD,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CID,República Dominicana,DOM,NA,NA,NA,NA,NA,NA,NA,m10,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Fuerza de Trabajo,ENFT,Spanish,1991,NA,Banco Central de la Republica Dominicana,BCRD,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CID,República Dominicana,DOM,NA,NA,NA,NA,NA,NA,NA,m4,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Fuerza de Trabajo,ENFT,Spanish,1991,NA,Banco Central de la Republica Dominicana,BCRD,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Mensual,National,CID,República Dominicana,DOM,NA,NA,NA,NA,NA,NA,NA,m7,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Public Data,NA,NA,Encuesta Continua de Hogares,ECH,Spanish,1991,NA,Instituto Nacional de Estadística,INE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,NA,National,CSC,Uruguay,URY,NA,NA,NA,NA,NA,NA,NA,s2,Nacional,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\URY\ECH\1991\s2\docs,NA,\\Sdssrv03\surveys/survey/URY/ECH/1991/s2,NA,\\Sdssrv03\surveys/survey/URY/ECH/1991/s2/data_orig,\\Sdssrv03\surveys/harmonized/URY/ECH/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Encuesta de Hogares por Muestreo,EHM,Spanish,1991,NA,Oficina Central de Estadística e Informática,OCEI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1991,Semestral,National,CAN,Venezuela,VEN,NA,NA,NA,NA,NA,NA,NA,s2,Nacional,NA,NA,NA,NA,NA,no hay documentos,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Public Data,NA,NA,Encuesta Permanente de Hogares - Puntual,EPHP,Spanish,1992,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Bi-anual,National,CSC,Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,m10,15 Aglomerados urbanos,NA,67776,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EPHP\1992\m10\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHP/1992/m10,\\Sdssrv03\surveys\survey\ARG\EPHP\1992\m10\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHP/1992/m10/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHP/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Public Data,NA,NA,Encuesta Permanente de Hogares - Puntual,EPHP,Spanish,1992,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,m5,# Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EPHP\1992\m5\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHP/1992/m5,falta crear,\\Sdssrv03\surveys/survey/ARG/EPHP/1992/m5/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHP/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Integrada de Hogares,EIH,Spanish,1992,NA,Instituto Nacional de Estadística,INE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,NA,National,CAN,Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,m11,Urbana,6104,28502,NA,NA,NA,\\Sdssrv03\surveys\survey\BOL\EIH\1992\m11\docs,NA,\\Sdssrv03\surveys\survey\BOL\EIH\1992\m11,NA,\\Sdssrv03\surveys/survey/BOL/EIH/1992/m11/data_orig,\\Sdssrv03\surveys/harmonized/BOL/EIH/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Anual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,a,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/a,NA,\\Sdssrv03\surveys/survey/BRA/1992/a/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m1,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m1,NA,\\Sdssrv03\surveys/survey/BRA/1992/m1/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m10,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m10,NA,\\Sdssrv03\surveys/survey/BRA/1992/m10/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m11,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m11,NA,\\Sdssrv03\surveys/survey/BRA/1992/m11/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m12,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m12,NA,\\Sdssrv03\surveys/survey/BRA/1992/m12/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m2,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m2,NA,\\Sdssrv03\surveys/survey/BRA/1992/m2/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m3,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m3,NA,\\Sdssrv03\surveys/survey/BRA/1992/m3/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m4,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m4,NA,\\Sdssrv03\surveys/survey/BRA/1992/m4/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m5,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m5,NA,\\Sdssrv03\surveys/survey/BRA/1992/m5/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m6,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m6,NA,\\Sdssrv03\surveys/survey/BRA/1992/m6/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m7,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m7,NA,\\Sdssrv03\surveys/survey/BRA/1992/m7/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m8,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m8,NA,\\Sdssrv03\surveys/survey/BRA/1992/m8/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,"NA",NA,NA,Pesquisa Nacional por Amostra de Domicilio,PNAD,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,NA,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m9,Nacional,78320,317355,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\BRA\PNAD\1992\m9,NA,\\Sdssrv03\surveys/survey/BRA/PNAD/1992/m9/data_orig,\\Sdssrv03\surveys/harmonized/BRA/PNAD/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1992,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m9,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1992/m9,NA,\\Sdssrv03\surveys/survey/BRA/1992/m9/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Encuesta de Caracterización Socioeconómica Nacional,CASEN,Spanish,1992,NA,Ministerio de Desarrollo Social,MIDEPLAN,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,NA,National,CSC,Chile,CHL,NA,NA,NA,NA,NA,NA,NA,m11_m12,Nacional,27666,110555,NA,NA,NA,\\Sdssrv03\surveys\survey\CHL\CASEN\1992\m11_m12\docs,NA,\\Sdssrv03\surveys\survey\CHL\CASEN\1992\m11_m12,\\Sdssrv03\surveys\survey\CHL\CASEN\1992\m11_m12\data_merge,\\Sdssrv03\surveys/survey/CHL/CASEN/1992/m11_m12/data_orig,\\Sdssrv03\surveys/harmonized/CHL/CASEN/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Censo,Census,Spanish,1992,NA,Instituto Nacional de Estadística,INE,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1992,NA,National,CSC,Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,Nacional,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\census\Chile,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Hogares-Fuerza de Trabajo,ENH-FT,Spanish,1992,NA,Departamento Administativo Nacional de Estadistica,DANE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,NA,National,CAN,Colombia,COL,NA,NA,NA,NA,NA,NA,NA,m9,Urbana,15626,69683,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\COL\ENH-FT\1992\m9,NA,\\Sdssrv03\surveys/survey/COL/ENH-FT/1992/m9/data_orig,\\Sdssrv03\surveys/harmonized/COL/ENH-FT/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta de Hogares de Propósitos Múltiples,EHPM,Spanish,1992,NA,Dirección General de Estadística y Censos,DGEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,NA,National,CID,Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,m7,Nacional,8479,34271,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\CRI\EHPM\1992\m7,NA,\\Sdssrv03\surveys/survey/CRI/EHPM/1992/m7/data_orig,\\Sdssrv03\surveys/harmonized/CRI/EHPM/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,"Encuesta Periódica de Empleo, Desempleo y Subempleo",ENEMDU,Spanish,1992,NA,Instituto Nacional de Estadisticas y Censos,INEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1992,NA,National,CAN,Ecuador,ECU,NA,NA,NA,NA,NA,NA,NA,m11,Urbana,8129,38088,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\ECU\ENEMDU\1992\m11,NA,\\Sdssrv03\surveys/survey/ECU/ENEMDU/1992/m11/data_orig,\\Sdssrv03\surveys/harmonized/ECU/ENEMDU/data_arm
